path,sheet,test_name,message,issues,example
data/Final_dataset_RFIs.csv,file,filename_final,Filename contains 'final',filename,Final_dataset_RFIs.csv
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_duplicates,Duplicate headers found,Req/Not Req,Repeated 2 times
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_space,Some headers have spaces,"(1, 'Name of Doc')",Header has a space
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_space,Some headers have spaces,"(2, 'Req/Not Req')",Header has a space
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_space,Some headers have spaces,"(3, 'Req/Not Req')",Header has a space
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_special_characters,Headers contain special characters,"(2, 'Req/Not Req')",Header contains special characters
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,header_special_characters,Headers contain special characters,"(3, 'Req/Not Req')",Header contains special characters
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(0, (0, 'Requirement'))",The tool should be robust and ease of use.  (Takes little time to manage the tool). 
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(1, (0, 'Requirement'))",Generate document (process guide) from process diagrams in a customizable format.  
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(4, (0, 'Requirement'))","The tool should provide import/export/integration capabilities to common Microsoft tools (i.e. Excel, Word, SharePoint, etc.)"
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(5, (0, 'Requirement'))","The solution shall provide the capability to develop interactive process maps (flows) that link to task descriptions, enablers and best practice examples of deliverables"
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(11, (0, 'Requirement'))","There should be a feature to send warnings for missing integration links between defined processes ""(i.e. as we tie models together and there is a missing link, it  would provide a warning)"
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(12, (0, 'Requirement'))",The tool should identify/keep track of relationships between processes so that consistency in process integration touch points can be maintained.  
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(15, (0, 'Requirement'))","The tool should provide a means of linking to documents outside of tool (i. e. SharePoint, etc.)"
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(16, (0, 'Requirement'))",The tool should allow for identifying/managing standardized KPI's
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(29, (0, 'Requirement'))","The tool should have the ability to send users a link that will take them to specific documents within the repository: Ability to have one enabler used multiple times across different processes, Ability to track changes/version control, Integration with Active Directory, Single Sign On, Role based access, Data analytics capabilities."
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(30, (0, 'Requirement'))","The solution shall provide the capability to migrate current processes content (process maps, documents, enablers, etc.) from the current, interim solution."
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(35, (0, 'Requirement'))","Looking at our current engineering practices, that are very much hardware component driven, we want to be more pro-active (up-front system design). "
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(38, (0, 'Requirement'))","In this RFI, the following fields of Systems Engineering expertise will be in focus: Stakeholder Requirements Management, Requirements Management, Systems Architecture and Design (MBSE), Requirements driven Verification and Validation. "
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(39, (0, 'Requirement'))","However, surrounding fields of expertise, e.g. Systems Analysis and general support processes (e.g. report & measurements, Configuration Management), is also of interest."
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(41, (0, 'Requirement'))","Systems Engineering within ACME is today very requirements driven but now it is time to start looking at MBSE with support of standard general-purpose modeling language (e.g. SysML, UML and IDEF)."
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(51, (0, 'Requirement'))",Only responses that are 100% complete will be considered
data/Final_dataset_RFIs.csv,Final_dataset_RFIs,special_characters,Special characters found,"(54, (0, 'Requirement'))",IT Purchasing function is serving all ACME Group Business Areas / Units.
